2024-08-03 08:29:42.455 [info] Starting Python Locator /home/ubuntu/.vscode-server/extensions/ms-python.python-2024.12.1-linux-x64/python-env-tools/bin/pet server
2024-08-03 08:29:43.613 [info] Discovered env: /home/ubuntu/airflow-venv/bin/python
2024-08-03 08:29:43.631 [info] Discovered env: /usr/bin/python3
2024-08-03 08:29:43.632 [info] Discovered env: /bin/python3
2024-08-03 08:29:43.639 [info] Locator Conda took 160.908089ms
2024-08-03 08:29:43.645 [info] Locator Homebrew took 100.227µs
2024-08-03 08:29:43.646 [info] Locator LinuxGlobal took 293.324636ms
2024-08-03 08:29:43.668 [info] Locator PipEnv took 15.786µs
2024-08-03 08:29:43.668 [info] Locator Poetry took 106.214µs
2024-08-03 08:29:43.668 [info] Locator PyEnv took 5.654148ms
2024-08-03 08:29:43.669 [info] Locator Venv took 15.662µs
2024-08-03 08:29:43.669 [info] Locator VirtualEnv took 13.927µs
2024-08-03 08:29:43.669 [info] Locator VirtualEnvWrapper took 20.985µs
2024-08-03 08:29:43.669 [info] Locator GlobalVirtualEnvs took 61.803µs
2024-08-03 08:29:43.669 [info] Locator Locators took 303.978037ms
2024-08-03 08:29:43.669 [info] Locator Path took 537.841392ms
2024-08-03 08:29:43.669 [info] Locator Workspaces took 118.410803ms
2024-08-03 08:29:43.669 [info] Refresh completed in 539ms
